date,drug_name,territory,TRx,NRx
2023-01-01,DrugA,East,876.0,311.0
2023-01-08,DrugA,East,941.0,300.0
2023-01-15,DrugA,East,881.0,257.0
2023-01-22,DrugA,East,932.0,248.0
2023-01-29,DrugA,East,969.0,204.0
2023-02-05,DrugA,East,913.0,314.0
2023-02-12,DrugA,East,970.0,271.0
2023-02-19,DrugA,East,956.0,200.0
2023-02-26,DrugA,East,996.0,275.0
2023-03-05,DrugA,East,952.0,377.0
2023-03-12,DrugA,East,1052.0,353.0
2023-03-19,DrugA,East,994.0,288.0
2023-03-26,DrugA,East,900.0,182.0
2023-04-02,DrugA,East,1057.0,260.0
2023-04-09,DrugA,East,1040.0,334.0
2023-04-16,DrugA,East,943.0,346.0
2023-04-23,DrugA,East,975.0,230.0
2023-04-30,DrugA,East,932.0,327.0
2023-05-07,DrugA,East,914.0,286.0
2023-05-14,DrugA,East,958.0,197.0
2023-05-21,DrugA,East,958.0,267.0
2023-05-28,DrugA,East,1018.0,392.0
2023-06-04,DrugA,East,902.0,283.0
2023-06-11,DrugA,East,497.5,159.92699160213581
2023-06-18,DrugA,East,938.0,297.0
2023-06-25,DrugA,East,995.0,391.0
2023-07-02,DrugA,East,825.0,214.0
2023-07-09,DrugA,East,925.0,215.0
2023-07-16,DrugA,East,875.0,244.0
2023-07-23,DrugA,East,852.0,220.0
2023-07-30,DrugA,East,901.0,289.0
2023-08-06,DrugA,East,878.0,338.0
2023-08-13,DrugA,East,868.0,321.0
2023-08-20,DrugA,East,838.0,243.0
2023-08-27,DrugA,East,807.0,269.0
2023-09-03,DrugA,East,774.0,258.0
2023-09-10,DrugA,East,729.0,227.0
2023-09-17,DrugA,East,836.0,231.0
2023-09-24,DrugA,East,755.0,189.0
2023-10-01,DrugA,East,841.0,175.0
2023-10-08,DrugA,East,772.0,222.0
2023-10-15,DrugA,East,821.0,197.0
2023-10-22,DrugA,East,805.0,251.0
2023-10-29,DrugA,East,861.0,292.0
2023-11-05,DrugA,East,834.0,257.0
2023-11-12,DrugA,East,775.0,186.0
2023-11-19,DrugA,East,842.0,285.0
2023-11-26,DrugA,East,875.0,329.0
2023-12-03,DrugA,East,782.0,172.0
2023-12-10,DrugA,East,911.0,265.0
2023-12-17,DrugA,East,857.0,322.0
2023-12-24,DrugA,East,820.0,217.0
2023-12-31,DrugA,East,885.0,337.0
2024-01-07,DrugA,East,870.0,221.0
2024-01-14,DrugA,East,858.0,199.0
2024-01-21,DrugA,East,886.0,271.0
2024-01-28,DrugA,East,1045.0,265.0
2024-02-04,DrugA,East,951.0,236.0
2024-02-11,DrugA,East,944.0,294.0
2024-02-18,DrugA,East,948.0,266.0
2024-02-25,DrugA,East,983.0,245.0
2024-03-03,DrugA,East,989.0,335.0
2024-03-10,DrugA,East,957.0,382.0
2024-03-17,DrugA,East,1021.0,258.0
2024-03-24,DrugA,East,998.0,206.0
2024-03-31,DrugA,East,1019.0,274.0
2024-04-07,DrugA,East,1073.0,328.0
2024-04-14,DrugA,East,1052.0,304.0
2024-04-21,DrugA,East,1103.0,238.0
2024-04-28,DrugA,East,1052.0,288.0
2024-05-05,DrugA,East,1021.0,300.0
2024-05-12,DrugA,East,946.0,375.0
2024-05-19,DrugA,East,1029.0,370.0
2024-05-26,DrugA,East,939.0,216.0
2024-06-02,DrugA,East,1567.5,503.8905715303475
2024-06-09,DrugA,East,942.0,249.0
2024-06-16,DrugA,East,962.0,348.0
2024-06-23,DrugA,East,867.0,233.0
2024-06-30,DrugA,East,924.0,339.0
2024-07-07,DrugA,East,767.0,257.0
2024-07-14,DrugA,East,837.0,258.0
2024-07-21,DrugA,East,901.0,305.0
2024-07-28,DrugA,East,825.0,327.0
2024-08-04,DrugA,East,819.0,248.0
2024-08-11,DrugA,East,839.0,316.0
2024-08-18,DrugA,East,852.0,202.0
2024-08-25,DrugA,East,868.0,320.0
2024-09-01,DrugA,East,760.0,282.0
2024-09-08,DrugA,East,854.0,316.0
2024-09-15,DrugA,East,793.0,307.0
2024-09-22,DrugA,East,835.0,264.0
2024-09-29,DrugA,East,857.0,235.0
2024-10-06,DrugA,East,753.0,223.0
2024-10-13,DrugA,East,749.0,217.0
2024-10-20,DrugA,East,807.0,190.0
2024-10-27,DrugA,East,793.0,216.0
2024-11-03,DrugA,East,862.0,225.0
2024-11-10,DrugA,East,874.0,269.0
2024-11-17,DrugA,East,948.0,237.0
2024-11-24,DrugA,East,851.0,270.0
